Date,Content
2021-11-07 1:16:31,"Masukan nih buat INDODAX, harusnya ada persentase keuntungan/kerugian nya di aplikasi HP nya, biar kita tahu berapa persen kerugian atau keuntungan kita dari pertama awal beli.... Jangan kalah sama sebelah... Terus biaya WD jangan terlalu mahal, kasian trader yang mau WD harian... Ane kasih bintang 1 dulu selama belum ada perubahan dari INDODAX ya..."
2021-11-14 12:59:57,"Saya kecewa verifikasi selalu gagal dengan alasan foto ktp tidak sesuai dengan yang sekarang , dan alasan foto buram ... Udah hubungi CS tetap aja alasan yang sama . Padahal saya verifikasi di platform lain masih di terima , kenapa gak ada fitur finger print agar memudahkan user"
2021-11-20 2:33:11,ini kenapa ya dari semalem tgl 19 nov 2021 aplikasi jadi susah banget dibuka.. udah install ulang pun sama aja padahal internet saya normal dan buat buka di 2 aplikasi exchange lainnya pun normal2 aja cuman di indodax aja error gak bisa kebuka
2021-11-19 12:05:19,Untuk pengalaman saya.. kalo mau investasi itu butuh modal besar.. kalo kecil percuma gan.. untung cuman 500 itu pun sudah besar.. nyesal udah top up.. kalo di tarik kepotong 25k
2021-11-18 1:16:31,"Mending ke warung sebelah aja.....dsni withdraw lama dan biaya mahal, gw udah pakai 2 apk bersamaan, ketika butuh cairin dana warung sebelah cuma hitungan jam lgsg cair...sdgkan dsni udah 3 hr blm jg ada tanda2 😒 kacau"
2021-11-20 2:02:16,"Setelah di update Aplikasi jadi sangat lemot.. Buruk sekali. Transaksi trading saya jadi tersendat. Buka beranda lama, Buka market lama, Buka saldo lama, Tolonglah di perbaiki"
2021-11-06 1:28:42,"Jual dan Beli. Nya . Oke kadang cepet, Lebih seringnya lama. Sampe jamuran. Sampe jadi Nutrigel 🍅🤣 kalo ga ada perbaikan. Pasti kalah ratting, kalah peminatan juga ame aplikasi sebelah (!)"
2021-11-10 7:02:43,"UNTUK PENGGUNA BARU HATI HATI SEBELUM TRANSAKSI!!! Top up dari tanggal 30/11/21 sampai sekarang saldo nya masih belum masuk, sudah komplain, di oper oper terus, padahal cuma 150"
2021-11-20 1:05:50,"Ini Kenapa Lagi Aplikasinya , Gak Bisa Login ?? Yang Bener Dikit Dong , Setiap Update Kendala Terus , Bukan Bener Malah Parah"
2021-11-15 9:15:46,Udh gak recomendasi lagi...saya kasih bintang 1..kalau withdraw saya cpt di urusnya saya akan naikin..maaf ya..laporan sudah selesai tp gak ada mask tokenya..udh gak akan pakai lagi saya..masuk syukur gak mask yaudhhh
2021-11-18 6:14:21,"Banyak kali potongan biayanya dan penjualan kenapa ada minimal pula, biaya adminnya gila-gilaan"
2021-11-24 12:32:53,"Bisa ga balasan dari tim indodax ga pesan otomatis gt... Banyak keluhan jawabanya sama.... ""Mohon maaf atas ....dst.... Ini pun pasti jawabanya pasti gt... Beda masalahnya 1 jawabanya..."
2021-11-04 0:17:58,"Kapan ada coin sun di indodax? Saya mau beli tapa di indodax tidak ada. Padahal dimarket lain banyak, masa iya indodax tidak ada jual beli coin sun! Parah.!!!!?"
2021-11-10 7:09:49,"Saya sudah pernah mendaftar sebelumnya. Tapi karena ada alasan tertentu saya menghapus akun saya. Sekarang saya mendaftar lagi dengan alamat email dan nomor hp yang sama. Pendaftaran lancar sampai tahap aktivasi akun, tetapi waktu coba login harus verifikasi SMS lewat nomor hp, saya tidak menerima 6 digit kode verifikasinya, waktu request kode juga cuma tertulis nomor hp sudah digunakan. Tolong bantu masalah saya"
2021-11-10 7:10:12,"Pembayaran virtual account, untuk tf via BNI sudah ga ada, kenapa cuma ada 3 via pembayaran BCA, SINARMAS, MY BANK, kenapa? Aku mau depo nih malah jadi ribet -_-"
2021-11-15 2:42:02,"SEJAK TANGGAL 9 NOVEMBER 2021 - 15 NOVEMBER 2021, SALDO DEPOSIT SAYA BELUM JUGA MASUK. SUDAH LAPOR, SUDAH BAGI SCREENSHOT BUKTI TRANSFER. EH BALASANNYA TRANSAKSI BERHASIL TERPROSES. PADAHAL DI INDODAX SAYA SALDO BELUM NAMBAH PERMAINAN APA INI?????"
2021-11-09 13:16:20,Kehilangan no hp ya udah kehilaangan akun... Kenapa kode otp harus lewat no hp.. sedangkn apa gunannya email... Saya sudah ikuti petunjuk kehilangan no hp tp dah 2 hari gak ada respon.... Dah lah 🐒🐒
2021-11-03 23:55:25,Aplikasi seperti ini seharusnya di blokir saja karena sangat merugikan sekali ... Sangat tidak recommended jangan di install tolong OJK hapus saja... Untuk jual dan beli pending sampai berjam2 hingga market sudah berubah harga... Cuma di aplikasi ini yang ada maintenance aset crypto.. Dan akhirnya aset kita tidak bisa di jual... Untuk penarikan juga sampai berhari-hari tidak juga masuk.. 25 ribu biaya penarikan alias rampok.. Ini uang saya sendiri bukan saya pinjam dari indodax... Brengsek....
2021-11-30 2:44:05,"Wkwkwkw pas beli koin yg harganya rendah lumayan banyak, abis maintenance lgsung hilang ... permainannya sangat bagus 🤣🤣"
2021-10-06 6:50:09,"Masih banyak bug, server sering eror, terkadang tidak bisa pakai limit order,harus selalu menggunakan instan order, bukan masalah fee tapi limit order sangatlah penting untuk mendapatkan keuntungan maupun mengurangi kerugian.aplikasi sering diperbarui tapi tidak berpengaruh apa-apa."
2021-11-28 0:19:27,"Knpa inih indodax habis di updet ko gk bisa di buka apk nya sudah masukan pin juga,bintang 1 dlu,"
2021-11-13 3:19:24,"Padahal berharap banget sm indodax, tp malah rugi, gbza jual beli cepet, kl lg naik cpet sering gbza beli, beli harus jauh diatas, fee jual beli mahal, grafik aneh, lg naek berhenti, udah turun dr angka beli baru jalan lagi, aneh.."
2021-11-06 8:24:24,Mengapa saya login menggunakan email saya gak bisa ya kk.. Swya seorang pemula baru daftar tp gak bisa... Sdgkan no hp saya mau registerasi ulang sdh gak bisa... Mohon upgred ulang... 😭😭😭
2021-11-21 0:32:45,"Parah sih ini indodax,beli saham pas lagi turun 5-6%, Skrg naik di 4-5% malah turun saham saya, Permainan apa pula ini indodax, Saran jgn cba disini, Aman cuman katanya, Nyaman konon katannya"
2021-11-05 7:32:39,Saya kira memuaskan. Ternyata menyakitkan pake aplikasi ini. Harha keburu naik semua. Duit nyangkut gk bs wd. SANGAT NOT RECOMMENDED APLIKASINYA. APALAGI PEMULA JANGAN DAHHH PAKE INI. THANKS
2021-11-27 13:14:11,"Bintang saya kurangi bos..trnyata klo di banding sama apk sebelah jauh lebih jelek dr semua mslh,mulai dr biaya transaksi jual beli maupun widraw..ini mah apk nya mgkn hnya dibuat untuk yg uang nya banyak saja..klo uang nya hanya pas2an bakalan habis hanya buat biaya transaksi saja"
2021-11-08 3:15:43,"Tidak ada riwayat top up saldo , jadinya susah mengetahui saldo udah masuk belum. Persentase Plus minus pemegang koin juga tidak ada, jadinya harus ngitung sendiri."
2021-10-30 6:48:18,"Kalo deposit potongan 4.000 kalo tarik potongan 25.000. Semoga membatu teman teman yg mempunyai modal kecil dihitung"" Lagi apakah ini berkerja atau tidaknya. Sedikit sharing aja dari pada nantinya menyesal."
2021-11-21 6:05:39,"Market kripto paling busuk di Indonesia, fee transaksi dan penarikan paling mahal tapi pelayanan paling busuk. Uang org triliunan di market masa kalo market lg rame servernya down. Malu2in! Tim IT nya pecat aja!"
2021-11-17 3:33:11,"Ini kenapa verifikasi saya kok ditolak dengan alasan ktp foto buram ?? Astagfirullah... Awal2 alasannya foto ggak sama dg ktp saya sudah foto berkali2 bilang tidak sama..akhirnya setelah saya coba beberapakali akhirnya diproses, dan..dapet email katanya verifikasi ditolak karena foto buram.. Hellow...maunya anda apa?? Data saya sudah dianda smuamloh ya..foto diri saya,foto ktp kenapa masih dibilang alasan foto buram?? Tolong segera diproses,karena foto ktp saya juga sudah dianda !!"
2021-12-01 9:44:46,"Kemana vidy???? Aku masih punya deposit tapi tiba"" ilang....!"
2021-11-08 6:49:33,"Saya sudah verifikasi berkali2 tetep gagal, alasannya tidak menyantumkan foto indentitas sesuai ketentuan. Padahal udah sesuai Lo tapi malah gagal. Tolong benerin perbaikan kerjaaan lu"
2021-11-22 12:40:09,HNST Tolong di delisted dari indodax. Koin gak jelas banyak yang beli malah turun.
2021-11-01 3:44:34,"Tolong balikin lagi saldo bnb saya ! Saya melakukan penarikan ke bsc tadi malam sekitaran jam 2 , di status sih tertera sukses tapi kok sampai sekarang belum juga masuk padahal sudah saya cek berkali-kali alamat penerima dan sudah benar , sudah kena potongan nya gede , nggak masuk lagi. . . Parah ni indodax. . . Saya coba cek TXid nya di bscscan tapi ngga ada riwayat sama sekali . . . Tolong balikin lagi saldo bnb saya. . . ! Alamat wallet penerima sudah benar tapi"
2021-11-02 13:26:56,"Pelayanannya sekarang buruk, padahal saya sudah lama menggunakan indodax tapi sekarang kurang memuaskan. Saya WD dari kemarin belum masuk ke wallet saya, padahal di riwayat transaksi sudah sukses,bertanya kepada customer service jawabannya mohon menunggu,menunggu sampai kapan? Kalo sedang ada maintanance tolong dijelaskan. Apa karena semua koin harganya sedang naik? Jadi semua WD ditunda. Ini hanya keluhan saya pribadi, Terima kasih"
2021-10-28 13:29:28,"Parah banget, gua yg harusnya cuan jadi rugi gara"" gabisa TP shiba gara"" Server error , kalau udah kek gini mau tanggung jawab gak lu min? Udah fee mahal, server bapuk, gua yg harusnya cuan jadi rugi, dah lah kalau gak ada solusi pindah binance aja gua"
2021-10-31 14:44:15,"Beli koin aurora, trus mau jual di harga Rp23 pake metode limit order harga sering stuck di 22-23 tapi gak ke jual jual, ini gimana sih kok sistemnya kaya gini, mau pake instant order tapi males gak untung mlah buntung"
2021-11-10 7:23:41,"sangat buruk proses withdrawnya disini.. saya punya aplikasi binance, tokocrypto, twt, dan hotbit proses withdraw sangat cepat.. tidak seperti indodax yang sangat lama.. ini sudah dua hari sejak saya withdraw dan status masih pending"
2021-11-09 7:51:08,"Sistem kinerja jual beli nya sangat lambat & lelet, berbeda dengan aplikasi pintu & BNB, cara penarikan / transfer jga cukup mahal. Jd. Uninstall lg aja dah"
2021-11-28 13:28:04,"Sungguh terlalu pemberitahuan koin crypto VIDYX dan VIDY terlambat bahwa mau delisting dri indodax, bnyak sekali kerugian milyaran sekian banyak orang termasuk saya👌 licik sekali.. Kasihan yg rugi puluhan juta bahkan ratusan juta apa lagi masa pandemi thank indodax 👌"
2021-10-26 2:33:12,"Ini tiap saat maintenance terus, saldo saya tiba tiba ga ada bagaimana ceritanya, tolong jangan di bawa kabur uang masyarakat dan uang kami ya, tolomg kerja sama dan pengertian nya !!"
2021-10-17 1:21:58,"Penarikan dana di weekend nya di percepat lg, dari keterangan FAQ, terkesan tidak peduli, silahkan hub bank yg penerima, karena statusnya sudah sukses menunggu 1x24jam hari kerja, ini crypto tiap detik berubah, pengguna jg ingin memutar uangnya dengan real time."
2021-10-26 13:47:44,Aplikasi jelek banget pindah aja ke toko sebelah.. makin kesini makin kaya sampah nih market .. tolol..market makin parah .. maling terus kerjaan nya .. free aja di gediin ..kerja gak becus Market nambah jadi sampah aja ini @bapetti @ojk market tukang copet .. saat ada yg pump gak bisa sell najis
2021-10-27 1:50:05,"Kenapa Indodax sering bgt error.... Begini terus,rugi nih.. Harusny cuan,jd buang(rugi) Tolonglah perbanyak maintenance setiap hari. Lalu informasikan kesetiap member(pengumuman) waktu maintenance. Agar kami tau,kapan harus trading.. Kalau tdk ada perubahan,Indodax akan kehilangan bnyak member.."
2021-10-15 2:44:53,"maaf saya kurangi bintang nya Untuk melihat graphic candle market nya tidak bisa di buka,fee top up melalui bank seperti habis di rampok oleh pihak Indodax,Biaya penarikan yang mahal sampai 25 ribu dan itu juga harus Verifikasi KTP kalau tidak tidak bisa ditarik, kalau tidak bisa di tarik kenapa bisa top up? penarikan dalam bentuk aset biaya nya melebihi penarikan uang yang pada dasarnya sama saja dengan istilah merampok"
2021-11-01 14:36:43,"Sistem verifikasi mengecewakan, udah nunggu 24 jam gataunya malah ditolak, padahal udah deposit disitu, tapi karna akun belum terverifikasi jadi nyangkut saldonya. Tolong diperbaiki & dipercepat sistem verifikasinya"
2021-11-02 21:32:24,"Kenapa dari kemaren² tiba² saya tidak bisa login aplikasi mobile? Email, password, pin tdk berfungsi Muter² balik lagi di halaman depan terus Kalau tidak ada solusi Saya pindah apk sebelah aja dah.."
2021-10-28 3:18:19,"Sangat kacau, support pun tidak 24 jam online. Jika ada permasalahan sangat lama dalam penanganan. Untuk kualitas support masih kalah jauh sama TokoKripto yang fast respon jam berapapun."
2021-11-10 0:29:15,"AWAS APLIKASI PENIPUAN kemaren istri saya deposit 100juta udah sukses padahal tapi pas saya buka tida masuk ke dompet saya di aplikasi ini, saya tanya di gmail cuman di minta tunggu 2-5 hari kerja, eh di tungguin gaada konfirmasi lagi, bilangnya ada gangguan sistem lah apa lah banyak alesan. Awas atiati yg mau instal ni aplikasi, jangan sampai kejadian spt saya terulang🥺 APLIKASI PENIPU, UNINSTALL LEBIH BAIK, adminya ga ramah juga malesin, semoga uangku balik lah ya ditunggu"
2021-11-19 17:42:34,"Mantab indodax komentar gw dihapus, dikasih tau semalem lagi naik naik nya malah susah login bukanmya dibenerin malah rating komentar gw dihapus, MANTAB"
2021-10-27 0:20:58,"Baru daftar udah disuguhi trouble, dengan jawaban email belum terdaftar, pada saat register ulang dengan jawaban udah terdaftar.... dibolak balik terus... ujung ujungny login diblokir.... gimana ini aplikasi gak jelas bingit...maaf🙏"
2021-11-01 14:29:37,Aneh ya. Saya cek ktp saya terdeteksi ko di dukcapil. Di cek ktp pun jelas ada detailnya kok gagal approve? Udah ke deposit lagi. Mau narik lagi ga bisa. Gagal sudah gagal....
2021-10-29 0:21:50,"Indodax tolong perbaiki lagi servernya, kemarin pas shiba lagi mau pump-pumpnya saya mau enty susah amat, delay terus, lemot, padahal, saya pakai wifi, pas mau take profit delay lagi, mau cencel order delay lagi, di situsnya juga sama, tolong perbaiki ya, dan tingkatkan lagi servernya"
2021-11-02 23:47:16,Transaksi menggunakan limit order dengan harga 22.000. Dan harga pasaran 23.000. Tapi pas harga pasaran udah sama denga harga limit order belum juga di prosea padahal harganya udah bolak balik kena harga limit order tapi transaksinya masi di antrian penting. Respon transaksi limit ordernya LELET padahal udah sama kaya harga pasarannya. PARAH MENDINGAN MAIN (BINOMO)
2021-11-07 8:31:44,"Baru pakai beberapa langsung ga suka, biaya fee witdraw dan deposit 25k anjir gede amat, kalau trade pakai instan order 3% biayanya, kalau pakai limit order saldo bisa-bisa nyangkut di server... Yang mau download pikir2 lagi deh"
2021-10-27 13:24:06,"Benerin server lu ampasss, udah sell berkali2 kaga bisa , masuk order aja kaga kan konyol.jangan fee aja di gedein bikin server gak becus. Kalau sekali 2x oke2 aja tapi ini sering kali. Coba ojk turun tangan banyak yang dirugikan oleh indodax"
2021-11-19 8:15:04,Kenapa nggak bisa update.terpaksa Saya uninstall..tpi ketika mau install lagi..malah nggk bisa bisa..padahal kuota full kok..terpaksa transaksi pakai website
2021-10-28 0:32:57,Saya mulai kecewa dengan fitur2 di indodax Apalagi ketika mau jual apa mau beli ga realtime banget saya sering banget di rugikan ketika mau jual/beli Apalagi ga semua koin ada stop limit order Masa kalah sama exange lain yang fiturnya lebih lengkap Padahal indodax katnya exange nomer 1 tapi fasilitasnya masih 0 Nanti kalau sudah ada perubahan yang lebih baik dari segi fitur jual beli saya koreksi bintangnya jadi 5 bintang Untuk sekarang 1 bintang dulu karena masih kecewa Terimakasih
2021-11-02 21:28:47,KECEWA BANGET SAMA INDODAX!!!!!! Saya deposit sudah 3 jam gak masuk2. Saya email di respon 2x setelah itu ngilang. Uang juga gak masuk2 sampe sekarang. Tolong tanggung jawabnya ya. Itu bukan uang yg sedikit lho!!!!!!!!!!!!
2021-10-23 4:26:53,"Ah ga bagus ini apk, mau ganti nama karena nama saya beda dngan identitas ga bisa, padahal uang sy bnyak di pltfrom idx ini, pas mau WD, dan verifikasi identitas ditolak dalam alasan username beda dngan identitas, trus pas mau ganti username dan nama, ga bisa, ah aplikasih taik ini mah,!!"
2021-10-05 11:41:16,Tolong dong diperbaiki servernya atau masalah lainnya. Saya deposit sdh lebih dr 1 hari beritanya diriwayat pending terus. Selama ini tdk pernah ada kendala. Setiap deposit selalu sukses tdk kurang dr 12 jam sdh masuk balance. Padahal dari story diblockchain sdh terkirim sukses. Saya jd ragu untuk deposit yg lebih besar. Dengan nilai yg kecil saja agak lambat.
2021-10-28 9:20:25,Hebat ya indodok..mau jual di harga tinggi..gak bisa..failed terus..sampai akhirnya jual rugi 3 kali lipat..di paling bawah..wkwkwk Ini sama aja cukong..buat para pemula..don't investasions in here..isi nya mapia semua..kalian wajib pikir2 lagi
,Memuat datanha lamaaaa
2021-12-02 21:04:48,"Aneh, aset/coin tiba"" hilang padahal sudah cek berkali"" riwayat transaksi ngk ada jual/sell, dan banyak coin yang sudah dibeli pada ilang... mending cepet"" jual semua coin yang ada terus uninstal daripada nyesel kedepannya"
2021-12-02 16:55:35,"Indodax...Dengan sumber pengembang yg tidak menjelaskan asalnya, kemudian berkali-kali menyelesaikan misi walaupun target harus tercapai, dan masih ditambah lagi harus jelas isi data nama dan NIK, tentunya hal ini sangat penting bagi saya apakah Uang Nyata ini bermaksud mengumpulkan data eKTP pengguna? Pasti sangat riskan Krn bagaimana bila data KTP kita dijebol oleh oknum tidak bertanggung jawab? Maka kita perlu EXTRA HATI-HATI...."
2021-12-02 16:28:06,Wd nya lama mutasinya hilang
2021-11-30 6:27:15,"Knpa ulasanku dhpus? Indodax tidak ada tanggung jwab sma sekali, saya Beli market vidy nunggu 6 bulan blum naik2 malah informasi dri gmail. Market vidy mai di hapus dri indodax, rugi bnyak sya"
2021-11-13 12:00:06,"Misal mau jual udah pas harga tinggi belum cair"" sekali cair dan di confir eh ternyata nominal udah turun, beda sama aplikasi yg lain. Jual skrg nominal sekarang langsung di confir juga gak kayak aplikasi ini. Mending ke aplikasi pintu jelas cair kan sekarang langsung di confir dan uang langsung cair. Yg belum download pikir"" 2x atau lebih buat download aplikasi ini"
2021-12-02 9:57:15,"Naik tinggi banget padahal, eh duitnya dipotong jual beli sama aja, yg kaya indodax aja, nasabahnya banyakan yg buntung, liat ja bnyk *1 nya, bagi2lah yg ada nanti bangkrut pd kabur. Jual di titik tertentu lngsung kena biaya dicancel ga balik, aplikasi tuyul, Nti karyawannya di PHK, terus maen krypto, dimakan sm developer lain, miskin lagi, karma berlaku cuuuy, malah bisa lebih parah..."
2021-12-02 13:13:47,Sangat merugikan
